row_1,row_2,row_3
1.365022054639222e-05,1.341362751907953e-05,1.200453405801478e-05
1.3646078090911905e-05,1.3413545239940459e-05,1.200872007809697e-05
1.3648275006015092e-05,1.3419176109844081e-05,1.2000912825007014e-05
1.3646884230222977e-05,1.34136959482197e-05,1.2007770764518911e-05
1.3650698411677027e-05,1.3411846199810924e-05,1.200584197802928e-05
1.3650203328709877e-05,1.341517872652088e-05,1.2002999907342856e-05
1.3647639584253716e-05,1.3415119811845764e-05,1.2005598606245569e-05
1.3645302081087967e-05,1.3413517415215437e-05,1.2009516660217669e-05
1.3644879226183768e-05,1.3415018328922355e-05,1.2008434649499956e-05
1.3649392915889196e-05,1.3412951619720983e-05,1.200602985301184e-05
1.3648964390820994e-05,1.3412355642913913e-05,1.200705034997993e-05
1.364880821241327e-05,1.3413999005669469e-05,1.2005561706020814e-05
1.3650145809544107e-05,1.341323317864626e-05,1.2005002436820949e-05
1.364733317789501e-05,1.3414691513862345e-05,1.2006330446976865e-05
1.3645515702602074e-05,1.3412946294844047e-05,1.20098761555377e-05
1.3649557486411819e-05,1.3412686444499548e-05,1.200613199575292e-05
1.3649091338513097e-05,1.3412923130405574e-05,1.2006357101223197e-05
1.3645163144277151e-05,1.3416491638200699e-05,1.2006680075568354e-05
1.3650860402873233e-05,1.3412475173099998e-05,1.2005052527480413e-05
1.3648353538126262e-05,1.3415718418211457e-05,1.200429271847343e-05
1.3650825540868211e-05,1.3411444476100513e-05,1.2006117760671789e-05
1.365160899830407e-05,1.341375167754001e-05,1.2003034423828544e-05
1.3647273492370317e-05,1.3413118857478103e-05,1.200796223107716e-05
1.3646708332152503e-05,1.3415492415204231e-05,1.2006148551697653e-05
1.364451523598955e-05,1.341794141258748e-05,1.2005872154251533e-05
1.3648237520119723e-05,1.3414351126953699e-05,1.2005774943457292e-05
1.3650493417865534e-05,1.3413824423125354e-05,1.2004066832696328e-05
1.3649945825919703e-05,1.3411356000407058e-05,1.2007077729678715e-05
1.3649845290209055e-05,1.341172766585119e-05,1.2006805660359156e-05
1.3645814120171458e-05,1.3410261731359385e-05,1.2012265090402222e-05
1.3645549485679452e-05,1.3415212453757221e-05,1.2007576529276842e-05
1.3650235537390864e-05,1.3415640829296557e-05,1.2002505896901901e-05
1.3646670748184315e-05,1.341467527930468e-05,1.2007002920313351e-05
1.3649219955721022e-05,1.341459533305552e-05,1.2004557483395307e-05
1.3654698414098844e-05,1.3409711663763686e-05,1.2004013894854906e-05
1.364888695092726e-05,1.3415987743080721e-05,1.200349496596953e-05
1.3649215265467348e-05,1.3410638051814766e-05,1.2008519411055586e-05
1.3646056724708377e-05,1.341052257604647e-05,1.2011763908510339e-05
1.3647377104231913e-05,1.340883047834831e-05,1.2012147966680512e-05
1.3649129674538639e-05,1.3413043593819096e-05,1.2006198660064746e-05
1.3648649206987785e-05,1.3414507899213571e-05,1.2005210331870179e-05
1.3646167628897414e-05,1.3411853823074628e-05,1.2010322793780893e-05
1.364543132307007e-05,1.3411171901907133e-05,1.201173413941286e-05
1.3648828114385317e-05,1.3411351176778979e-05,1.2008189818938995e-05
1.364893326255345e-05,1.3412777777660854e-05,1.2006659052582144e-05
1.3648369437802563e-05,1.3413297682398676e-05,1.2006697703205016e-05
1.3646853135520096e-05,1.3411871426754555e-05,1.2009626090082234e-05
1.3648375280037615e-05,1.3413848655280776e-05,1.2006140942688191e-05
1.3649896501130457e-05,1.3412397508377575e-05,1.200608508551811e-05
1.3645410668164604e-05,1.341357803274986e-05,1.20093484704391e-05
1.3646746808670718e-05,1.341382749380298e-05,1.2007775356174316e-05
1.364587794051448e-05,1.3412329937820068e-05,1.2010133660050325e-05
1.3645953988507371e-05,1.341566387624791e-05,1.2006724384358493e-05
1.3650027073457694e-05,1.3409704569906432e-05,1.2008648671964138e-05
1.364677049867798e-05,1.3413797197468192e-05,1.2007782183903778e-05
1.3647119251253993e-05,1.3414642310483227e-05,1.2006591577682599e-05
1.3645963395458275e-05,1.3415052238949726e-05,1.2007326702621205e-05
1.3648588823603585e-05,1.3408737738676297e-05,1.2011040311460962e-05
1.364649794584915e-05,1.3412309584595265e-05,1.2009539802382836e-05
1.364596579919051e-05,1.3414687637153946e-05,1.2007688923149534e-05
1.364934750189826e-05,1.3407770152359428e-05,1.2011256309934508e-05
